0.698353	0.27534	0.808472	0.434961	anger	sadness	Przygnębiony ciężarem sumienia, zawstydzony wzrok wlepił w ziemię.
0.698353	0.27534	0.808473	0.434961	anger	surprise	— Ale, ale!...
0.698353	0.27534	0.808473	0.434961	anger	sadness	Od wieków tak bardzo odosobieni, samotni, nie żyjąc z nikim, rodziną się tylko własną i sami sobą otaczając starczyli sobie, ani z sąsiadami, ani z tymi do których wypadki ich zbliżały nie zawiązując ściślejszych stosunków.
0.698353	0.27534	0.808473	0.434961	anger	surprise	Nie wspomniał nic o warunkach, pod jakimi ochotnicy zgodzili się na tę naukę.
0.698353	0.27534	0.808473	0.434961	anger	anticipation	Zapatrzyła się w rękę.
0.698353	0.27534	0.808472	0.434961	anger	anticipation	Słucham was, panie von Bergow.
0.698353	0.27534	0.808473	0.434961	anger	anticipation	— Nie zaraz odbędzie się tyle przeze mnie upragniona uroczystość.
0.698353	0.27534	0.808473	0.434961	anger	anger	— Ach, gdyby wiedzieli — mówił z gniewem władca — jak faraon jest bezsilny i ubogi, każdy nomarcha zechciałby być panem swego nomesu!...
0.698353	0.27534	0.808473	0.434961	anger	sadness	Śmiech jej krył wzruszenie, które mi sprawiło ból.
0.698353	0.27534	0.808473	0.434961	anger	trust	— Będę się wpatrywał w plamy atramentowe... będę wiernie pilnował klejnotów!
0.698353	0.27534	0.808473	0.434961	anger	fear	— Kto pan jesteś? czego tu chcesz?...
0.698353	0.27534	0.808472	0.434961	anger	fear	— Bój się Boga, Senderl!
0.698353	0.27534	0.808473	0.434961	anger	anticipation	— Ależ chcę wiedzieć...
0.698353	0.27534	0.808473	0.434961	anger	anticipation	Padre Torquemada stał przy oknie zamyślony, na koniec odwrócił się i podszedł do stołu.
0.698353	0.27534	0.808473	0.434961	anger	trust	Zrozumiałaś mnie.
0.698353	0.27534	0.808473	0.434961	anger	anticipation	— Marku, a Drakecity?
